paper_id,target_filename,corpus,action,year,journal,authors,title,doi,doi_url,oa_url,ezproxy_url,best_url,libkey_url,libkey_direct,in_holdings,retracted
p0001,p0001.pdf,both,PULL (institutional),1998.0,Journal of Behavioral Decision Making,Christopher K. Hsee,Less is better: when low-value options are valued more highly than high-value options,10.1002/(sici)1099-0771(199806)11:2<107::aid-bdm292>3.0.co;2-y,https://doi.org/10.1002/%28sici%291099-0771%28199806%2911%3A2%3C107%3A%3Aaid-bdm292%3E3.0.co%3B2-y,,https://kuleuven.e-bronnen.be/login?url=https://doi.org/10.1002/%28sici%291099-0771%28199806%2911%3A2%3C107%3A%3Aaid-bdm292%3E3.0.co%3B2-y,https://kuleuven.e-bronnen.be/login?url=https://doi.org/10.1002/%28sici%291099-0771%28199806%2911%3A2%3C107%3A%3Aaid-bdm292%3E3.0.co%3B2-y,https://libkey.io/libraries/1781/10.1002/%28sici%291099-0771%28199806%2911%3A2%3C107%3A%3Aaid-bdm292%3E3.0.co%3B2-y,https://libkey.io/libraries/1781/articles/26002636/full-text-file,True,False
p0002,p0002.pdf,yang_uzzi,PULL (institutional),2000.0,Journal of Behavioral Decision Making,"Fenna H. Poletiek, Mariëtte Berndsen",Hypothesis testing as risk behaviour with regard to beliefs,10.1002/(sici)1099-0771(200001/03)13:1<107::aid-bdm349>3.0.co;2-p,https://doi.org/10.1002/%28sici%291099-0771%28200001/03%2913%3A1%3C107%3A%3Aaid-bdm349%3E3.0.co%3B2-p,,https://kuleuven.e-bronnen.be/login?url=https://doi.org/10.1002/%28sici%291099-0771%28200001/03%2913%3A1%3C107%3A%3Aaid-bdm349%3E3.0.co%3B2-p,https://kuleuven.e-bronnen.be/login?url=https://doi.org/10.1002/%28sici%291099-0771%28200001/03%2913%3A1%3C107%3A%3Aaid-bdm349%3E3.0.co%3B2-p,https://libkey.io/libraries/1781/10.1002/%28sici%291099-0771%28200001/03%2913%3A1%3C107%3A%3Aaid-bdm349%3E3.0.co%3B2-p,,,
p0003,p0003.pdf,forrt,PULL (institutional),2000.0,Journal of Behavioral Decision Making,"Melissa L. Finucane, Ali Alhakami, Paul Slovic et al.",The affect heuristic in judgments of risks and benefits,10.1002/(sici)1099-0771(200001/03)13:1<1::aid-bdm333>3.0.co;2-s,https://doi.org/10.1002/%28sici%291099-0771%28200001/03%2913%3A1%3C1%3A%3Aaid-bdm333%3E3.0.co%3B2-s,,https://kuleuven.e-bronnen.be/login?url=https://doi.org/10.1002/%28sici%291099-0771%28200001/03%2913%3A1%3C1%3A%3Aaid-bdm333%3E3.0.co%3B2-s,https://kuleuven.e-bronnen.be/login?url=https://doi.org/10.1002/%28sici%291099-0771%28200001/03%2913%3A1%3C1%3A%3Aaid-bdm333%3E3.0.co%3B2-s,https://libkey.io/libraries/1781/10.1002/%28sici%291099-0771%28200001/03%2913%3A1%3C1%3A%3Aaid-bdm333%3E3.0.co%3B2-s,,,
p0004,p0004.pdf,forrt,PULL (institutional),2007.0,Applied Cognitive Psychology,"Maryanne Garry, Lauren French, Toni Kinzett et al.",Eyewitness memory following discussion: using the MORI technique with a Western sample,10.1002/acp.1376,https://doi.org/10.1002/acp.1376,,https://kuleuven.e-bronnen.be/login?url=https://doi.org/10.1002/acp.1376,https://kuleuven.e-bronnen.be/login?url=https://doi.org/10.1002/acp.1376,https://libkey.io/libraries/1781/10.1002/acp.1376,,,
p0005,p0005.pdf,forrt,PULL (institutional),2012.0,Applied Cognitive Psychology,"Tapani Riekki, Marjaana Lindeman, Marja Aleneff et al.",Paranormal and Religious Believers Are More Prone to Illusory Face Perception than Skeptics and Non‐believers,10.1002/acp.2874,https://doi.org/10.1002/acp.2874,,https://kuleuven.e-bronnen.be/login?url=https://doi.org/10.1002/acp.2874,https://kuleuven.e-bronnen.be/login?url=https://doi.org/10.1002/acp.2874,https://libkey.io/libraries/1781/10.1002/acp.2874,,,
p0006,p0006.pdf,forrt,PULL (institutional),2005.0,Journal of Behavioral Decision Making,"Tehila Kogut, Ilana Ritov","The “identified victim” effect: an identified group, or just a single individual?",10.1002/bdm.492,https://doi.org/10.1002/bdm.492,,https://kuleuven.e-bronnen.be/login?url=https://doi.org/10.1002/bdm.492,https://kuleuven.e-bronnen.be/login?url=https://doi.org/10.1002/bdm.492,https://libkey.io/libraries/1781/10.1002/bdm.492,,,
p0007,p0007.pdf,both,PULL (institutional),2007.0,Journal of Behavioral Decision Making,"Clayton R. Critcher, Thomas Gilovich",Incidental environmental anchors,10.1002/bdm.586,https://doi.org/10.1002/bdm.586,,https://kuleuven.e-bronnen.be/login?url=https://doi.org/10.1002/bdm.586,https://kuleuven.e-bronnen.be/login?url=https://doi.org/10.1002/bdm.586,https://libkey.io/libraries/1781/10.1002/bdm.586,,,
p0008,p0008.pdf,both,PULL (institutional),2014.0,European Journal of Social Psychology,"Yanli Huang, Chi‐Shing Tse, Kit W. Cho",Living in the north is not necessarily favorable: Different metaphoric associations between cardinal direction and valence in Hong Kong and in the United States,10.1002/ejsp.2013,https://doi.org/10.1002/ejsp.2013,,https://kuleuven.e-bronnen.be/login?url=https://doi.org/10.1002/ejsp.2013,https://kuleuven.e-bronnen.be/login?url=https://doi.org/10.1002/ejsp.2013,https://libkey.io/libraries/1781/10.1002/ejsp.2013,,,
p0009,p0009.pdf,both,PULL (institutional),1987.0,European Journal of Social Psychology,Jozef M. Nuttin,Affective consequences of mere ownership: The name letter effect in twelve European languages,10.1002/ejsp.2420170402,https://doi.org/10.1002/ejsp.2420170402,,https://kuleuven.e-bronnen.be/login?url=https://doi.org/10.1002/ejsp.2420170402,https://kuleuven.e-bronnen.be/login?url=https://doi.org/10.1002/ejsp.2420170402,https://libkey.io/libraries/1781/10.1002/ejsp.2420170402,,False,False
p0010,p0010.pdf,forrt,PULL (institutional),2007.0,European Journal of Social Psychology,"Monika Stelzl, Leslie M. Janes, Clive Seligman",Champ or chump: strategic utilization of dual social identities of others,10.1002/ejsp.446,https://doi.org/10.1002/ejsp.446,,https://kuleuven.e-bronnen.be/login?url=https://doi.org/10.1002/ejsp.446,https://kuleuven.e-bronnen.be/login?url=https://doi.org/10.1002/ejsp.446,https://libkey.io/libraries/1781/10.1002/ejsp.446,,,
