doi,replicated,discipline,year,what_manipulated,what_measured,experiment,design,manipulation,effect_structure,focus,clarity,rigor,transparency,N,ES,P
10.1002/(sici)1099-0771(199806)11:2<107::aid-bdm292>3.0.co;2-y,1,Judgment and Decision Making,1998,juxtaposition vs. separate evaluation of two comparable options differing in quantity/number of components,preference rating or perceived favorability of the option,"Units evaluated two options that differed in quantity (e.g., a gift of lesser versus greater monetary value; an ice cream serving of 7 oz vs. 8 oz; a dinnerware set with 24 vs. 31 intact pieces) either in isolation (separate evaluation) or side-by-side (juxtaposed). Each unit provided preference or favorability judgments. The primary comparison was the reversal of preference depending on evaluation context (separate vs. juxtaposed).",within-subjects,randomized-experiment,interaction,single-hypothesis,clearly-operationalized,standard,none,83.0,,0.01
10.1002/(sici)1099-0771(200001/03)13:1<1::aid-bdm333>3.0.co;2-s,1,Psychology,2000,time pressure (present vs. absent) and information designed to shift overall affective evaluation of a hazard,perceived risk and perceived benefit of a hazard,"In Study 1, units made risk and benefit judgments about hazards under normal and time-pressure conditions. Time pressure was manipulated to limit analytic thought and enhance reliance on affect. In Study 2, units received information designed to alter overall affective evaluation (favorability) of a hazard, then provided risk and benefit judgments. The inverse relationship between risk and benefit judgments was compared across conditions, with the hypothesis that affect mediates the relationship.",between-subjects,randomized-experiment,main-effect,single-hypothesis,clearly-operationalized,standard,none,219.0,-0.75,
10.1002/acp.1376,1,Cognitive Psychology,2007,discussion with a co-witness (discussing memory for critical details vs. no discussion),accuracy of memory report for discussed versus non-discussed critical details at a final test,"Units viewed an event, then participated in a discussion with a partner about selected critical details (or did not discuss). The partner provided either correct or incorrect information. At a final test, units reported what they remembered for both discussed and non-discussed critical details. Memory accuracy was compared between the discussed and non-discussed conditions, with signal analysis applied to assess the mechanisms of memory conformity.",within-subjects,randomized-experiment,main-effect,single-hypothesis,clearly-operationalized,standard,none,40.0,1.11,0.165
10.1002/acp.2874,1,Cognitive Psychology,2012,"believer status (paranormal/religious believer vs. skeptic/non-believer, a measured individual difference)",detection accuracy of face-like features in images and ratings of face-likeness and emotionality,"Units viewed pictures of scenery and landscapes with and without face-like areas. In a detection task, they identified face-like regions. In a rating task, they evaluated the face-likeness and emotionality of identified areas. Detection sensitivity and response criteria were analyzed via signal detection theory. Between-group comparisons were made between believer and skeptic groups.",observational or correlational,observational,simple-association,single-hypothesis,clearly-operationalized,standard,none,47.0,0.058,0.139
10.1002/bdm.492,0,Psychology,2005,singularity of victim (single vs. group) and presence of individually identifying information (present vs. absent),willingness to help (contribution amount) and reported distress,"Units made decisions about donating to help a victim (or group) presented either with or without identifying information (e.g., photograph). The singularity of the victim and availability of identification were manipulated in a between-subjects design. Contribution amounts and self-reported distress were compared across conditions.",between-subjects,randomized-experiment,interaction,single-hypothesis,clearly-operationalized,standard,none,112.0,,0.009
10.1002/bdm.586,0,Judgment and Decision Making,2007,"presence and value of incidentally available numerical anchors in the environment during estimation (e.g., jersey number, product model number, restaurant name digits)",numerical estimates of a quantity or value,"Across three studies, units made numerical estimates (of athletic performance, market proportion, or restaurant spending) in contexts where irrelevant numerical values were incidentally present. Estimates were compared between conditions with different anchor values. Moderating factors such as domain expertise and recall of the anchor were examined.",between-subjects,randomized-experiment,main-effect,single-hypothesis,clearly-operationalized,standard,none,194.0,0.3,0.03
10.1002/ejsp.2013,1,Social Psychology,2014,"cultural context (United States vs. Hong Kong) and cardinal direction (north vs. south, presented in fictional city scenarios and preference questions)",inferred socioeconomic status location and personal living preferences for cardinal directions,"Units in two cultural contexts were presented with scenarios about where people of high versus low socioeconomic status lived in a fictional city, or were asked where they themselves would prefer to live. Cardinal direction (north vs. south) was varied. Ratings or preferences for cardinal location were compared across cultural groups, testing whether the metaphoric association between cardinal direction and valence differed by culture.",between-subjects,randomized-experiment,interaction,single-hypothesis,clearly-operationalized,standard,none,100.0,0.1,0.01
10.1002/ejsp.2420170402,1,Psychology,1987,"ownership status of a letter stimulus (own-name letter vs. non-own-name letter, a within-subjects comparison) across 12 European languages",preference ranking of letters; proportion of own-name letters ranked among the six most preferred letters,Units ranked visual letter stimuli from most to least preferred. The primary comparison was between letters belonging to the unit's own name (initial and/or non-initial) versus identical letters not belonging to the name. The percentage of own-name letters ranked among the six most preferred was calculated. Analysis was conducted separately for each of 12 languages to test the cross-linguistic generality of the effect.,within-subjects,observational,simple-association,single-hypothesis,clearly-operationalized,standard,none,2047.0,,0.0001
10.1002/ejsp.446,1,Social Psychology,2007,dual social identities of a target (shared vs. non-shared with the observer's ingroup) and performance outcome (success vs. failure) in a competitive context,perceived nationality and perceived similarity of the target,"In an archival study, media identification of an athlete's nationality was coded following a success versus failure event. In an experimental study, units evaluated a fictional athlete whose dual nationalities were manipulated to be either shared or non-shared with the observer's ingroup, and whose performance (success vs. failure) was also manipulated. Nationality judgments and similarity ratings were analyzed as a function of these conditions.",mixed,randomized-experiment,interaction,single-hypothesis,clearly-operationalized,standard,none,104.0,,0.05
10.1002/jeab.432,1,Psychology,2018,"type of reinforcement exposure training during a pre-training phase (delay-exposure, immediacy-exposure, or no-training control) for animal subjects","choice patterns reflecting impulsivity (preference for smaller, sooner versus larger, later rewards) and the degree of delay discounting","Animal units underwent differential pre-training in which they received either extended training with delayed reinforcers, extended training with immediate reinforcers, or no training. Subsequently, choice tests measured preference between smaller, sooner and larger, later rewards. Between-group comparisons of impulsive choice rates and within-subject changes from pre- to post-training were analyzed.",between-subjects,randomized-experiment,main-effect,single-hypothesis,clearly-operationalized,controls-and-power-reported,none,34.0,,0.005
