doi,ref_spread,nearest_cited_prior
10.1002/(sici)1099-0771(199806)11:2<107::aid-bdm292>3.0.co;2-y,0.58421403,0.4251858
10.1002/(sici)1099-0771(200001/03)13:1<1::aid-bdm333>3.0.co;2-s,0.70090055,0.286237
10.1002/acp.1376,0.68390626,0.19712973
10.1002/acp.2874,0.72472984,0.44078422
10.1002/bdm.492,0.68878514,0.31452525
10.1002/bdm.586,0.6237374,0.32752752
10.1002/ejsp.2013,0.7879397,0.38176715
10.1002/ejsp.2420170402,0.7946961,0.36814082
10.1002/ejsp.446,0.63595486,0.4687333
10.1002/jeab.432,0.63690823,0.20514494
10.1002/jeab.705,0.77202183,0.49987656
10.1002/job.2118,0.7202364,0.35972118
10.1002/pam.21702,0.67032325,0.25409216
10.1002/per.1902,0.7533583,0.30128086
10.1002/per.2062,0.6996458,0.25023752
10.1002/per.758,0.545439,0.24381816
10.1002/per.803,0.5706461,0.25932056
10.1002/smj.2585,0.733647,0.4392599
10.1002/soej.12223,0.6755958,0.25445282
10.1007/s10683-011-9281-9,0.76118547,0.19346964
10.1007/s10683-011-9295-3,0.6930275,0.33813637
10.1007/s11098-010-9651-8,0.6863035,0.21269238
10.1007/s11145-010-9282-7,0.5298455,0.13386714
10.1007/s13524-011-0026-3,0.61016136,0.32171738
10.1007/s13524-018-0725-0,0.6452806,0.29128778
10.1016/0022-1031(91)90011-t,0.7335491,0.4820664
10.1016/j.jcps.2010.06.007,0.7515401,0.24100947
10.1016/j.learninstruc.2018.05.004,0.643886,0.25391436
10.1016/j.nlm.2017.09.009,0.63034844,0.41855192
10.1016/j.obhdp.2013.10.003,0.7562857,0.3698095
10.1016/j.worlddev.2016.03.006,0.74687904,0.27754664
10.1016/s0272-6963(97)00033-8,0.50798213,0.22483301
10.1017/bec.2013.16,0.5097474,0.1907515
10.1017/epi.2013.23,0.724795,0.28897083
10.1017/s0003055410000262,0.7868336,0.40213698
10.1017/s0003055412000299,0.79018426,0.3427214
10.1017/s0007123411000421,0.72366923,0.35373145
10.1017/s0007123421000557,0.7301233,0.2566026
10.1017/s0033291713000202,0.6104401,0.20273626
10.1017/s0043887112000032,0.73043257,0.36257088
10.1017/s1366728914000273,0.5787014,0.21942717
10.1017/s1930297500001170,0.79279375,0.2577021
10.1017/s1930297500005064,0.63714415,0.32212007
10.1017/xps.2014.22,0.77320415,0.33570826
