"study_id","study_type","author_id","first_name","last_name","author_order","n_authors"
"ee.1","o","author.101","Armin","Falk",2,4
"ee.1","o","author.127","Lorenz","Goette",3,4
"ee.1","o","author.168","David","Huffman",4,4
"ee.1","o","author.2","Johannes","Abeler",1,4
"ee.10","o","author.105","Ernst","Fehr",1,3
"ee.10","o","author.159","Holger","Herz",2,3
"ee.10","o","author.388","Tom","Wilkening",3,3
"ee.11","o","author.115","Daniel","Friedman",1,2
"ee.11","o","author.275","Ryan","Oprea",2,2
"ee.12","o","author.117","Drew","Fudenberg",1,3
"ee.12","o","author.294","David G.","Rand",2,3
"ee.12","o","author.86","Anna","Dreber",3,3
"ee.13","o","author.167","Steffen","Huck",1,3
"ee.13","o","author.328","Andrew J.","Seltzer",2,3
"ee.13","o","author.377","Brian","Wallace",3,3
"ee.14","o","author.174","John","Ifcher",1,2
"ee.14","o","author.401","Homa","Zarghamee",2,2
"ee.15","o","author.196","Judd B.","Kessler",1,2
"ee.15","o","author.307","Alvin E.","Roth",2,2
"ee.16","o","author.166","Jürgen","Huber",2,3
"ee.16","o","author.199","Michael","Kirchler",1,3
"ee.16","o","author.351","Thomas","Stöckl",3,3
"ee.17","o","author.204","Shimon","Kogan",1,3
"ee.17","o","author.211","Anthony M.","Kwasnica",2,3
"ee.17","o","author.380","Roberto A.","Weber",3,3
"ee.18","o","author.210","Ilyana","Kuziemko",1,4
"ee.18","o","author.269","Michael I.","Norton",4,4
"ee.18","o","author.296","Taly","Reich",3,4
"ee.18","o","author.44","Ryan W.","Buell",2,4
"ee.2","o","author.10","Attila","Ambrus",1,2
"ee.2","o","author.137","Ben","Greiner",2,2
"ee.3","o","author.105","Ernst","Fehr",2,3
"ee.3","o","author.21","Björn","Bartling",1,3
"ee.3","o","author.320","Klaus M.","Schmidt",3,3
"ee.4","o","author.56","Gary","Charness",1,2
"ee.4","o","author.89","Martin","Dufwenberg",2,2
"ee.5","o","author.57","Roy","Chen",1,2
"ee.5","o","author.58","Yan","Chen",2,2
"ee.6","o","author.202","Brian G.","Knight",3,3
"ee.6","o","author.61","Geoffroy De","Clippel",1,3
"ee.6","o","author.94","Kfir","Eliaz",2,3
"ee.7","o","author.292","Daniela","Puzzello",2,2
"ee.7","o","author.88","John","Duffy",1,2
"ee.8","o","author.195","Rudolf","Kerschbamer",2,3
"ee.8","o","author.355","Matthias","Sutter",3,3
"ee.8","o","author.90","Uwe","Dulleck",1,3
"ee.9","o","author.118","Andreas","Fuster",2,2
"ee.9","o","author.96","Keith M. Marzilli","Ericson",1,2
"ml1.1","o","author.247","Tom","Meyvis",2,3
"ml1.1","o","author.274","Daniel M.","Oppenheimer",1,3
"ml1.1","o","author.74","Nicolas","Davidenko",3,3
"ml1.10","o","author.309","Donald","Rugg",1,1
"ml1.11","o","author.230","Irving","Lorge",1,2
"ml1.11","o","author.70","Carl C.","Curtiss",2,2
"ml1.12","o","author.106","M. J.","Ferguson",2,3
"ml1.12","o","author.152","R. R.","Hassin",3,3
"ml1.12","o","author.52","T. J.","Carter",1,3
"ml1.13","o","author.25","Brittani","Baxter",3,4
"ml1.13","o","author.374","Kathleen D.","Vohs",2,4
"ml1.13","o","author.378","Adam","Waytz",4,4
"ml1.13","o","author.53","Eugene M.","Caruso",1,4
"ml1.14","o","author.171","Senel","Husnu",1,2
"ml1.14","o","author.67","Richard J.","Crisp",2,2
