pub_id,doi,pub_year,journal_title,subfield,original_n,original_p,original_p_exact,raw_stats
1023675681,10.1111/j.1467-8624.2012.01874.x,2013,Child Development,developmental,40,0.041005,yes,"F(1, 16) = 4.94, p = .04, n2= .24"
1021685329,10.1111/j.1467-8624.2005.00890.x,2005,Child Development,developmental,33,0.014283,yes,"F(1, 31) = 6.74, p < .01"
1027245234,10.1111/j.1467-8624.2009.01418.x,2010,Child Development,developmental,102,0.009449,yes,"F(1, 23) = 8.02, p < .01, np2 = .26"
1085211419,10.1111/cdev.12820,2018,Child Development,developmental,53.66666667,0.029412,yes,"F(1, 68) = 4.95, p < .05"
1020611528,10.1177/0956797610375449,2010,Psychological Science,developmental,84,0.002476,yes,"d = 0.69**, p <0.01"
1017525769,10.1111/cdev.12483,2016,Child Development,developmental,128,0.02,yes,"b = 0.23, p = .02, q = .007"
1052881683,10.1111/1467-8624.00498,2002,Child Development,developmental,679,0.03,yes,"F(2, 640) = 3.42, p = .03, F (2, 310) = 5.80, p = .003."
1021239689,10.1111/cdev.12224,2014,Child Development,developmental,128,0.001,no,"3-year-olds (81%, binomial p < .01), 4-year-olds (94%, p < .001), and adults (94%, p < .001)"
1041578529,10.1111/1467-8624.00145,2000,Child Development,developmental,20,0.049189,yes,"F(1, 15) = 4.58, p < .05"
1019308852,10.1111/1467-8624.00428,2002,Child Development,developmental,126,0.001,no,"F = 5.29, 3.57, n = 126; d = (0.4562+.63)/2"
1001102230,10.1111/j.1467-8624.2009.01326.x,2009,Child Development,developmental,128,0.05,no,<0.05
1012754218,10.1111/cdev.12693,2017,Child Development,developmental,113,0.005417,yes,"r = .26, .27"
1029902072,10.1111/j.1467-8624.2009.01371.x,2009,Child Development,developmental,132,0.007111,yes,"ToM total, r(106) = .26, p < .01; inhibition total, r (101) = .27, p < .01"
1007292982,10.1111/j.1467-8624.2007.01112.x,2008,Child Development,developmental,40,0.010772,yes,"F(3, 128) = 3.88, p< 0.05"
1037092178,10.1111/j.1467-8624.2012.01852.x,2013,Child Development,developmental,101,0.025,no,"SE = 1.10, p < .025"
1039194694,10.1111/1467-8624.t01-1-00536,2003,Child Development,developmental,126,0.01,no,multiple
1044870321,10.1111/j.1467-8624.2008.01201.x,2008,Child Development,developmental,2925,0.003178,yes,"b1 = 0.12, z = 2.95; b2 = 0.09, z = 2.95"
1019935601,10.1111/cdev.12144,2014,Child Development,developmental,54.66666667,1.40E-05,yes,"F(1, 50) = 23.15, p < .001, partial n2= .32,"
1025416672,10.1111/cdev.12398,2015,Child Development,developmental,8650,0.001,no,NA
1014352467,10.1177/0956797610389189,2010,Psychological Science,developmental,16,0.022216,yes,"z = -2.01, df = 7, p < 0.05"
1029828796,10.1111/1467-8624.00135,2000,Child Development,developmental,NA,NA,NA,NA
1009512317,10.1111/1467-8624.00289,2001,Child Development,developmental,76,4.40E-05,yes,"F (4, 99) =  7.13, p < 001"
1036428975,10.1177/0956797611402511,2011,Psychological Science,developmental,83,0.009486,yes,"F(1, 79) = 7.07, p < .05, np2= .082"
1114877175,10.1111/cdev.13246,2019,Child Development,developmental,544,0.009706,yes,"F(1, 109) = 6.93, p = .01, n2= .06"
1024193060,10.1111/cdev.12076,2013,Child Development,developmental,585,0.01,no,"beta = .44, p < 0.01"
1024929293,10.1111/j.1467-8624.2007.01040.x,2007,Child Development,developmental,402,0.000789,yes,"b = 0.79, SE = 0.25"
1105096687,10.1111/cdev.13106,2019,Child Development,developmental,246,0.001578,yes,"b = .33, SE = .10, p = .00."
1053513893,10.1111/j.1467-8624.2008.01250.x,2009,Child Development,developmental,203,0.001528,yes,"average r = .26, n = 118-174"
1046692039,10.1111/j.1467-8624.2012.01812.x,2012,Child Development,developmental,272,0,yes,"F(1, 127) = 30.65, p < .001, np2= .20,"
1105073760,10.1111/cdev.13104,2019,Child Development,developmental,1155,0.014714,yes,"B = -13, b = .04 [-0.076, -0.013), N = 1147 SE = -0.01836735"
1023537683,10.1111/j.1467-8624.2007.01032.x,2007,Child Development,developmental,416,0.000224,yes,"<0.05, r = -.18, r = .29"
1038221940,10.1111/j.1467-8624.2010.01432.x,2010,Child Development,developmental,144,0.000203,yes,"X2(2, N = 144) = 17.00, p < .001."
1016672551,10.1111/cdev.12165,2014,Child Development,developmental,102,1.20E-05,yes,"F(1, 94) = 21.4, p < .001"
1106072774,10.1177/0956797618778497,2018,Psychological Science,developmental,174,2.10E-05,yes,"beta = 0.119, SE= 0.028, p<.001"
1038139693,10.1111/cdev.12068,2013,Child Development,developmental,156,0.009028,yes,"F(1,22)=8.2, p=.009, np2=.28"
1046755904,10.1111/j.1467-8624.2007.01111.x,2008,Child Development,developmental,228.3333333,0.013403,yes,"F(2, 325) = 4.37, p < 02, n2 = 0.026,"
1009836625,10.1111/cdev.12371,2015,Child Development,developmental,47,0.009537,yes,"F(1, 42) = 7.38, p < .05, np2 = .15"
1046941548,10.1111/cdev.12616,2017,Child Development,developmental,256,0,yes,"F(3,390)=117.97,p<.001,np2 = .48"
1112021346,10.1111/cdev.13220,2019,Child Development,developmental,528,0.007814,yes,"b = .19, 95% CIs [-.33, -.04], p < .05); Z = .19/((.33-.19)/1.96) = 2.66"
1120640236,10.1111/cdev.13289,2019,Child Development,developmental,466,0.001017,yes,"b = 0.092, SE = .028, p < .01, B = .046; z = b/SE = 3.28571428571"
1030715270,10.1111/cdev.12322,2015,Child Development,developmental,4898,0,yes,.063 (.007)*** .047 (.012)*** .054 (.007)*** .033 (.012)** .077 (.007)*** .056 (.012)***
1031884982,10.1111/cdev.12343,2015,Child Development,developmental,173,0,yes,"b = -.07, SE = .01, t(171) = -6.29, p < .001"
1084244824,10.1177/0956797616689248,2017,Psychological Science,developmental,60,0.0086,yes,"t(58) = -2.72, p = .009, d = 0.70."
1026820765,10.1111/j.1467-8624.2009.01396.x,2010,Child Development,developmental,2599,0.01,no,"b = .31**, .23**, .37**, .27**"
1092562762,10.1177/0956797617729816,2018,Psychological Science,developmental,12112,0.038,yes,"ß = 0.06, p = .038; see Table 3"
1106252540,10.1111/cdev.13130,2019,Child Development,developmental,2977,0,yes,"r = 0.39, p<0.001, n = 885; r = 0.49, n = 989, n = 925, r = .57"
1053693598,10.1177/0956797614562453,2015,Psychological Science,developmental,22,0.0023,yes,"d = -0.216, p = 0.0023"
1005380042,10.1111/cdev.12213,2014,Child Development,developmental,331,0.019242,yes,"B= 1.088, 95% b CI [0.177, 1.999], p < .05) ; 1.96xSE = 0.177-1.088; SE = 0.46479591836, Z = B/SE = 2.34081229422"
1113293019,10.1177/0956797619836102,2019,Psychological Science,developmental,2232,0.001,no,"ß < = -0.18, p <.001)"
1021600762,10.1177/0956797610370158,2010,Psychological Science,developmental,54,0,yes,t(11)= 4.75; Numerosity: t(11)= 7.26; Duration: t(11)= 12.60; all ps < .001
1008599593,10.1037/0021-843x.115.4.742,2006,Journal of Abnormal Psychology,clinical,72.33333333,0.009336,yes,"b = 25.06, SE = 9.64), <U+03C7> 2 (1) = 6.76, p = .009, n = 60"
1034557050,10.1037/0021-843x.109.4.705,2000,Journal of Abnormal Psychology,clinical,12,NA,NA,original null
