"pub_id","doi","pub_year","replicated_study","replication_source","journal_title","replicated_binary","subfield","experiment","school_prestige_1st","school_prestige_senior","media_attention"
1026844424,"10.1037/a0029288",2013,"1","ML1","Journal of Experimental Psychology General","no","social","yes",NA,1,5
1013378954,"10.1016/j.jesp.2009.03.009",2009,"1","ML1","Journal of Experimental Social Psychology","yes","social","yes",1,1,0
1042340441,"10.1016/j.jesp.2010.05.014",2010,"1","ML1","Journal of Experimental Social Psychology","yes","social","yes",4,4,0
1034791051,"10.1037/0022-3514.83.1.44",2002,"1, 2","ML1","Journal of Personality and Social Psychology","yes","social","yes",1,1,0
NA,NA,NA,"2a","ML1",NA,"yes","social","yes",NA,NA,NA
1052303753,"10.1177/01461672952111004",1995,"0","ML1","Personality and Social Psychology Bulletin","yes","social","yes",1,1,3
1037590795,"10.1177/0956797611414726",2011,"2","ML1","Psychological Science","no","social","yes",NA,NA,8
1058579547,"10.1086/268936",1985,"1","ML1","Public Opinion Quarterly","yes","social","yes",NA,NA,0
1062646798,"10.1126/science.7455683",1981,"0","ML1","Science","yes","social","no",NA,NA,32
1028327093,"10.1002/ejsp.2013",2014,"1a","ML2","European Journal of Social Psychology","yes","social","no",NA,NA,0
1031426719,"10.1037/a0034462",2014,"2","ML2","Journal of Experimental Psychology General","no","social","yes",1,4,0
1043555948,"10.1037/0096-3445.136.4.569",2007,"4","ML2","Journal of Experimental Psychology General","no","cognitive","yes",1,1,9
1024172235,"10.1037/a0015141",2009,"1","ML2","Journal of Personality and Social Psychology","yes","social","no",3,3,12
1011851574,"10.1177/0956797611429579",2012,"4","ML2","Psychological Science","yes","social","yes",1,1,7
1022419950,"10.1037/0022-3514.83.5.1239",2002,"1","ML2","Journal of Personality and Social Psychology","yes","social","yes",1,1,0
1022882850,"10.1037/a0015960",2009,"1","ML2","Emotion","no","social","yes",1,1,2
1011273879,"10.1002/bdm.586",2008,"2","ML2","Journal of Behavioral Decision Making","no","social","yes",1,1,2
1050152626,"10.1037/0022-3514.73.4.733",1997,"3","ML2","Journal of Personality and Social Psychology","no","social","no",6,6,0
1004503263,"10.1111/j.1468-0017.2006.00297.x",2007,"1, 2, 3, 4","ML2","Mind & Language","yes","social","no",1,3,4
1049830190,"10.1177/0956797611434537",2012,"3","ML2","Psychological Science","no","social","yes",1,1,7
1032313603,"10.1016/0022-1031(77)90049-x",1977,"1","ML2","Journal of Experimental Social Psychology","yes","social","yes",1,1,16
1022448744,"10.1016/j.obhdp.2006.10.001",2007,"1a","ML2","Organizational Behavior and Human Decision Processes","no","organizational","yes",2,6,0
1014208893,"10.1037/0022-3514.95.2.293",2008,"2","ML2","Journal of Personality and Social Psychology","yes","social","yes",1,1,1
1033922221,"10.1177/0956797609359908",2010,"5","ML2","Psychological Science","no","social","yes",1,1,0
1044641441,"10.1207/s15516709cog2605_4",2002,"2","ML2","Cognitive Science","yes","cognitive","yes",1,1,0
1001053510,"10.1002/(sici)1099-0771(199806)11:2<107::aid-bdm292>3.0.co;2-y",1998,"1","ML2","Journal of Behavioral Decision Making","yes","social","yes",1,1,2
1053315482,"10.1037/a0013748",2009,"1a","ML2","Journal of Personality and Social Psychology","yes","social","no",1,1,0
1062454584,"10.1126/science.1130726",2006,"2","ML2","Science","no","social","yes",1,1,10
1017042822,"10.3758/bf03197186",1993,"1","ML2","Memory & Cognition","no","cognitive","yes",1,1,14
1050160915,"10.1038/nclimate2093",2014,"3a","ML2","Nature Climate Change","no","social","yes",1,1,18
1002677611,"10.1111/1467-8284.00419",2003,"1","ML2","Analysis","yes","cognitive","yes",1,1,1
NA,NA,NA,"2","ML2",NA,"no","cognitive","yes",NA,NA,NA
1005672367,"10.1016/s0010-0277(99)00073-6",2000,"1","ML3","Cognition","yes","cognitive","yes",1,1,2
1050120445,"10.1016/0010-0285(73)90033-9",1973,"3","ML3","Cognitive Psychology","yes","cognitive","yes",2,2,24
1011260892,"10.1016/s0191-8869(99)00204-4",2000,"0","ML3","Personality and Individual Differences","no","personality","no",NA,2,0
1030688270,"10.1111/j.1467-9280.2006.01824.x",2006,"2a","ML3","Psychological Science","no","social","yes",1,1,57
1048391631,"10.1111/j.1467-9280.2009.02426.x",2009,"2","ML3","Psychological Science","no","social","yes",1,NA,8
1056347298,"10.1027/1864-9335/a000147",2013,"1","ML3","Social Psychology","no","social","yes",6,6,1
1033100757,"10.1037/0022-3514.45.4.805",1983,"1","ML3","Journal of Personality and Social Psychology","yes","social","yes",NA,NA,0
1016987661,"10.1037/0022-3514.82.5.792",2002,"2","ML3","Journal of Personality and Social Psychology","no","social","yes",2,6,0
1029479959,"10.1037/0022-3514.81.1.33",2001,"1","ML3","Journal of Personality and Social Psychology","yes","social","yes",1,1,1
1031570375,"10.1037/0022-3514.67.4.627",1994,"1","ML4","Journal of Personality and Social Psychology","no","social","yes",3,3,1
1015158047,"10.1007/s12110-004-1010-z",2004,"2","SP Special Issue","Human Nature","yes","social","no",6,6,0
1042159964,"10.1016/j.jesp.2008.03.012",2008,"2","SP Special Issue","Journal of Experimental Social Psychology","no","social","yes",5,1,0
1042159964,"10.1016/j.jesp.2008.03.012",2008,"3","SP Special Issue","Journal of Experimental Social Psychology","yes","social","yes",5,1,0
1042159964,"10.1016/j.jesp.2008.03.012",2008,"4","SP Special Issue","Journal of Experimental Social Psychology","no","social","yes",5,1,0
