doi,label,title,abstract
10.1037/a0029288,0,Mere exposure to money increases endorsement of free-market systems and social inequality.,"The present research tested whether incidental exposure to money affects people's endorsement of social systems that legitimize social inequality. We found that subtle reminders of the concept of money, relative to nonmoney concepts, led participants to endorse more strongly the existing social system in the United States in general (Experiment 1) and free-market capitalism in particular (Experiment 4), to assert more strongly that victims deserve their fate (Experiment 2), and to believe more strongly that socially advantaged groups should dominate socially disadvantaged groups (Experiment 3). We further found that reminders of money increased preference for a free-market system of organ transplants that benefited the wealthy at the expense of the poor even though this was not the prevailing system (Experiment 5) and that this effect was moderated by participants' nationality. These results demonstrate how merely thinking about money can influence beliefs about the social order and the extent to which people deserve their station in life."
10.1037/0022-3514.83.1.44,1,"Math = male, me = female, therefore math ≠ me.","College students, especially women, demonstrated negativity toward math and science relative to arts and language on implicit measures. Group membership (being female), group identity (self = female), and gender stereotypes (math = male) were related to attitudes and identification with mathematics. Stronger implicit math = male stereotypes corresponded with more negative implicit and explicit math attitudes for women but more positive attitudes for men. Associating the self with female and math with male made it difficult for women, even women who had selected math-intensive majors, to associate math with the self. These results point to the opportunities and constraints on personal preferences that derive from membership in social groups."
10.1177/01461672952111004,1,Measures of Anchoring in Estimation Tasks,"The authors describe a method for the quantitative study of anchoring effects in estimation tasks. A calibration group provides estimates of a set of uncertain quantities. Subjects in the anchored condition first judge whether a specified number (the anchor) is higher or lower than the true value before estimating each quantity. The anchors are set at predetermined percentiles of the distribution of estimates in the calibration group (15th and 85th percentiles in this study). This procedure permits the transformation of anchored estimates into percentiles in the calibration group, allows pooling of results across problems, and provides a natural measure of the size of the effect. The authors illustrate the method by a demonstration that the initial judgment of the anchor is susceptible to an anchoring-like bias and by an analysis of the relation between anchoring and subjective confidence."
10.1177/0956797611414726,0,A Single Exposure to the American Flag Shifts Support Toward Republicanism up to 8 Months Later,"There is scant evidence that incidental cues in the environment significantly alter people's political judgments and behavior in a durable way. We report that a brief exposure to the American flag led to a shift toward Republican beliefs, attitudes, and voting behavior among both Republican and Democratic participants, despite their overwhelming belief that exposure to the flag would not influence their behavior. In Experiment 1, which was conducted online during the 2008 U.S. presidential election, a single exposure to an American flag resulted in a significant increase in participants' Republican voting intentions, voting behavior, political beliefs, and implicit and explicit attitudes, with some effects lasting 8 months after the exposure to the prime. In Experiment 2, we replicated the findings more than a year into the current Democratic presidential term. These results constitute the first evidence that nonconscious priming effects from exposure to a national flag can bias the citizenry toward one political party and can have considerable durability."
10.1086/268936,1,Response Scales: Effects of Category Range on Reported Behavior and Comparative Judgments,"Effects of the range of response categories provided in a closed answer format on behavioral reports and subsequent judgments were explored. Respondents reported their daily use of television along a scale that either ranged from “up to a half hour” “to more than two and a half hours” or ranged from “up to two and a half hours” to “more than four and a half hours.” The former subjects reported less use of television than the latter and estimated the average use of TV to be lower. Moreover, the former subjects evaluated TV to be more important in their lives (Experiment 1) and reported less satisfaction with the variety of their leisure-time activities (Experiment 2). These results indicate that subjects inferred the average amount of television watching from the response alternatives provided them and used it as a standard of comparison in evaluating their behavior and its implications."
10.1126/science.7455683,1,The Framing of Decisions and the Psychology of Choice,"The psychological principles that govern the perception of decision problems and the evaluation of probabilities and outcomes produce predictable shifts of preference when the same problem is framed in different ways. Reversals of preference are demonstrated in choices regarding monetary outcomes, both hypothetical and real, and in questions pertaining to the loss of human lives. The effects of frames on preferences are compared to the effects of perspectives on perceptual appearance. The dependence of preferences on the formulation of decision problems is a significant concern for the theory of rational choice."
10.1002/ejsp.2013,1,Living in the north is not necessarily favorable: Different metaphoric associations between cardinal direction and valence in Hong Kong and in the United States,"Abstract The Conceptual Metaphor Theory (e.g., Lakoff &amp; Johnson, ) suggests that people represent abstract concepts in terms of concrete concepts via metaphoric association. Participants in the United States (US) showed that cardinal direction (north/south) is metaphorically associated with valence (positive/negative), as reflected by their estimate for where a person with high or low socioeconomic status (SES) lives in a fictional city or their own living preference (Meier, Moller, Chen, &amp; Riemer‐Peltz, ). The present study tested whether the cardinal direction–valence metaphoric association could be moderated by cultural differences. Although US participants believed that high‐SES and low‐SES individuals were more likely to live in the northern and southern part of the city, respectively, the reverse was so for Hong Kong (HK) participants (Study 1). When asked where they themselves would like to live, HK participants preferred to live in a southern area, whereas US participants showed no preference (Studies 2 and 3). These findings demonstrate cultural differences in metaphoric associations between cardinal direction and valence for HK and US participants. Copyright © 2014 John Wiley &amp; Sons, Ltd."
10.1037/a0034462,0,A functional basis for structure-seeking: Exposure to structure promotes willingness to engage in motivated action.,"A recurring observation of experimental psychologists is that people prefer, seek out, and even selectively ""see"" structure in their social and natural environments. Structure-seeking has been observed across a wide range of phenomena--from the detection of patterns in random arrays to affinities for order-providing political, religious, social, and scientific worldviews--and is exacerbated under psychological threat. Why are people motivated for structure? An intriguing, but untested, explanation holds that perceiving structure, even in domains unrelated to one's current behavioral context, can facilitate willingness to take goal-directed actions. Supporting this, in 5 studies, reminders of structure in nature or society increase willingness to engage in goal pursuit."
10.1037/0096-3445.136.4.569,0,Overcoming intuition: Metacognitive difficulty activates analytic reasoning.,"Humans appear to reason using two processing styles: System 1 processes that are quick, intuitive, and effortless and System 2 processes that are slow, analytical, and deliberate that occasionally correct the output of System 1. Four experiments suggest that System 2 processes are activated by metacognitive experiences of difficulty or disfluency during the process of reasoning. Incidental experiences of difficulty or disfluency--receiving information in a degraded font (Experiments 1 and 4), in difficult-to-read lettering (Experiment 2), or while furrowing one's brow (Experiment 3)--reduced the impact of heuristics and defaults in judgment (Experiments 1 and 3), reduced reliance on peripheral cues in persuasion (Experiment 2), and improved syllogistic reasoning (Experiment 4). Metacognitive experiences of difficulty or disfluency appear to serve as an alarm that activates analytic forms of reasoning that assess and sometimes correct the output of more intuitive forms of reasoning."
10.1037/a0015141,1,Liberals and conservatives rely on different sets of moral foundations.,"How and why do moral judgments vary across the political spectrum? To test moral foundations theory (J. Haidt & J. Graham, 2007; J. Haidt & C. Joseph, 2004), the authors developed several ways to measure people's use of 5 sets of moral intuitions: Harm/care, Fairness/reciprocity, Ingroup/loyalty, Authority/respect, and Purity/sanctity. Across 4 studies using multiple methods, liberals consistently showed greater endorsement and use of the Harm/care and Fairness/reciprocity foundations compared to the other 3 foundations, whereas conservatives endorsed and used the 5 foundations more equally. This difference was observed in abstract assessments of the moral relevance of foundation-related concerns such as violence or loyalty (Study 1), moral judgments of statements and scenarios (Study 2), ""sacredness"" reactions to taboo trade-offs (Study 3), and use of foundation-related words in the moral texts of religious sermons (Study 4). These findings help to illuminate the nature and intractability of moral disagreements in the American ""culture war."""
10.1177/0956797611429579,1,Cuing Consumerism,"Correlational evidence indicates that materialistic individuals experience relatively low levels of well-being. Across four experiments, we found that situational cuing can also trigger materialistic mind-sets, with similarly negative personal and social consequences. Merely viewing desirable consumer goods resulted in increases in materialistic concerns and led to heightened negative affect and reduced social involvement (Experiment 1). Framing a computer task as a ""Consumer Reaction Study"" led to a stronger automatic bias toward values reflecting self-enhancement, compared with framing the same task as a ""Citizen Reaction Study"" (Experiment 2). Consumer cues also increased competitiveness (Experiment 3) and selfishness in a water-conservation dilemma (Experiment 4). Thus, the costs of materialism are not localized only in particularly materialistic people, but can also be found in individuals who happen to be exposed to environmental cues that activate consumerism-cues that are commonplace in contemporary society."
10.1037/0022-3514.83.5.1239,1,Cultural variation in correspondence bias: The critical role of attitude diagnosticity of socially constrained behavior.,"Upon observing another's socially constrained behavior, people often ascribe to the person an attitude that corresponds to the behavior (called the correspondence bias [CB]). The authors found that when a socially constrained behavior is still diagnostic of the actor's attitude, both Americans and Japanese show an equally strong CB. A major cultural difference occurred when the behavior was minimally diagnostic. Demonstrating their persistent bias toward dispositional attribution, Americans showed a strong CB. But Japanese did not show any CB (Study 1). Furthermore, a mediational analysis revealed that this cross-cultural difference was due in part to the nature of explicit inferences generated online during attitudinal judgment (Study 2). Implications for the cultural grounding of social perception are discussed."
10.1037/a0015960,0,Disgust sensitivity predicts intuitive disapproval of gays.,"Two studies demonstrate that a dispositional proneness to disgust (""disgust sensitivity"") is associated with intuitive disapproval of gay people. Study 1 was based on previous research showing that people are more likely to describe a behavior as intentional when they see it as morally wrong (see Knobe, 2006, for a review). As predicted, the more disgust sensitive participants were, the more likely they were to describe an agent whose behavior had the side effect of causing gay men to kiss in public as having intentionally encouraged gay men to kiss publicly-even though most participants did not explicitly think it wrong to encourage gay men to kiss in public. No such effect occurred when subjects were asked about heterosexual kissing. Study 2 used the Implicit Association Test (IAT; Nosek, Banaji, & Greenwald, 2006) as a dependent measure. The more disgust sensitive participants were, the more they showed unfavorable automatic associations with gay people as opposed to heterosexuals. Two studies demonstrate that a dispositional proneness to disgust (""disgust sensitivity"") is associated with intuitive disapproval of gay people. Study 1 was based on previous research showing that people are more likely to describe a behavior as intentional when they see it as morally wrong (see Knobe, 2006, for a review). As predicted, the more disgust sensitive participants were, the more likely they were to describe an agent whose behavior had the side effect of causing gay men to kiss in public as having intentionally encouraged gay men to kiss publicly-even though most participants did not explicitly think it wrong to encourage gay men to kiss in public. No such effect occurred when subjects were asked about heterosexual kissing. Study 2 used the Implicit Association Test (IAT; Nosek, Banaji, & Greenwald, 2006) as a dependent measure. The more disgust sensitive participants were, the more they showed unfavorable automatic associations with gay people as opposed to heterosexuals."
10.1002/bdm.586,0,Incidental environmental anchors,"Abstract Three studies examined whether potential anchor values that are incidentally present in the environment can affect a person's numerical estimates. In Study 1, estimates of an athlete's performance were influenced by the number on his jersey. In Study 2, estimates of the proportion of sales in the domestic market were influenced by a product's model number. In Study 3, participants' estimates of how much they would spend at a restaurant were influenced by whether the restaurant was named “Studio 17” or “Studio 97.” These effects were not qualified by participants' expertise in the relevant domain (Study 1) or by their ability to subsequently recall the anchor value (Study 3). These findings document the existence of a new form of “basic anchoring” and suggest that not all basic anchoring effects are as fragile as the existing anchoring literature suggests. Copyright © 2007 John Wiley &amp; Sons, Ltd."
10.1037/0022-3514.73.4.733,0,"Development of prosocial, individualistic, and competitive orientations: Theory and preliminary evidence.","The authors adopt an interdependence analysis of social value orientation, proposing that prosocial, individualistic, and competitive orientations are (a) partially rooted in different patterns of social interaction as experienced during the periods spanning early childhood to young adulthood and (b) further shaped by different patterns of social interaction as experienced during early adulthood, middle adulthood, and old age. Congruent with this analysis, results revealed that relative to individualists and competitors, prosocial individuals exhibited greater levels of secure attachment (Studies 1 and 2) and reported having more siblings, especially sisters (Study 3). Finally, the prevalence of prosocials increased—and the prevalence of individualists and competitors decreased—from early adulthood to middle adulthood and old age (Study 4)."
